SR2,SR1,T1,T3,T2,GH3,GH2,GH1,R1,S1,S2,Lat,Long
1.1243424,-1.4214861,1.1443449,-0.7055452,-0.0088880155,-0.13533169,-0.32274836,-0.7595359,0.58859104,-1.8479326,-0.24376974,-0.1795502,-1.5372621
-2.4742014,-0.53689986,-2.8631012,0.23163697,-0.38263318,-0.1327805,0.026123337,-1.1166714,-0.2871311,-0.98780525,-0.8486434,-0.1044042,0.47148222
1.9712516,-0.08770967,0.7927852,-0.16487949,-0.14075716,0.11255696,0.1859102,1.0171268,-0.32437027,-0.35606205,0.17927697,0.6026343,1.6920868
-2.7650628,0.1688949,1.2894905,0.24635427,0.9967295,-0.24575925,-1.1230274,-0.9422662,0.039707713,-2.1874294,-0.48169422,-0.22599775,-0.9103856
-1.2812841,-1.0365865,-2.3118958,-0.23670137,-0.7581442,-0.32243598,-1.0767193,-1.3526812,-0.64019674,-1.3888924,-0.6839851,-0.9861075,-0.96942776
-0.7502983,0.26433384,-1.8391243,-0.7453587,-0.38795,-0.18652903,0.08065057,-1.386942,-0.25623384,0.07594994,-0.9653172,0.020766113,0.66079676
-0.16054493,-4.244311,-0.22163154,-0.18592879,-0.70978266,-0.06461543,0.31661347,0.13819464,-0.22215246,-3.1060114,-0.88903564,-0.23358689,-0.60498124
0.7192191,-1.5268902,0.8754611,0.19731887,0.009568144,-0.1943226,-1.8000808,-1.0269294,-0.69062126,-1.1627407,-0.056312464,0.024975898,-2.0303748
0.15356009,-0.026354162,-3.1971664,-0.47264633,-0.9609731,-0.31932673,-0.108063206,-1.2094588,-0.0970568,-2.3491516,-1.0103086,0.13536926,0.8463264
-2.1274824,-0.20542532,0.2940984,-0.22213598,-0.3979666,-0.09503843,0.041478973,-0.2723567,-0.569415,-1.6889266,0.41640475,-1.7445242,0.15198672
-2.543655,-0.88484985,-2.8321493,-0.25845876,-0.1742731,-0.10921927,-0.31316808,-1.25965,0.18239039,-0.6078754,-0.94841564,-0.17191875,0.45196798
-0.52124256,0.26326934,1.4596424,-0.028012948,-0.08482457,0.028604249,-1.1600639,-0.5064022,-0.10701244,-1.579912,-0.01301046,-0.35581756,-1.4000394
-0.17945778,0.75486934,-0.82923746,-0.017629357,0.6666067,0.22048762,-0.043933935,1.8861669,0.62688017,0.7792383,0.5065707,0.4500726,0.99946874
0.38438028,-0.40225175,0.05473335,0.50241494,-1.2135265,-0.17324376,0.47677672,0.49492615,-0.28090072,-2.624637,-0.31935063,-0.25059062,-1.1065881
-3.537182,-1.5861759,-2.4187512,0.34186235,-0.75254834,0.11324788,0.061016236,-1.8211291,-0.20796637,-0.5203766,-0.61026734,-0.46932712,0.3118373
-3.7982123,-1.6831781,-2.0713725,-0.031032449,-0.3069287,-0.05212214,-0.019478813,-1.7722945,-0.19804156,-0.07041711,-0.8621339,-0.3620779,0.35608512
1.1290001,-0.6546721,-2.778579,-0.10277669,-0.585703,-0.13805261,0.12902781,-0.39986998,-0.22550465,0.17575414,-0.16774547,-0.3310048,-1.3993641
-0.14667085,-0.93474734,0.52436763,-0.65584326,-0.19019267,-0.099154785,-0.034023345,-0.10259566,-0.30499682,-1.6782701,-1.3948205,-0.6546266,1.0416019
-2.5259702,-0.80239236,-2.0688152,-0.268251,-0.30470797,-0.19088216,-0.1040255,-0.8830547,0.27583578,-2.4951777,-0.7831567,-0.19441764,0.45212355
-2.777822,-0.7019447,-2.9374154,-0.13798681,-0.7054048,-0.069907226,-0.2834864,-0.18610159,0.109608725,-1.5129833,-0.7257321,-0.58213574,0.40697944
2.016427,0.9545648,1.2154438,0.80545944,-0.03070167,0.11734814,-0.26545405,0.70340335,1.0206914,0.19940853,0.06454512,-0.31391752,0.87636447
1.2005628,-1.5729748,0.041020427,-0.53834915,-1.3406456,-0.7558063,-0.6759831,-0.87331337,-0.28178054,0.24933013,0.3398599,-0.22106816,-1.965199
-2.6718802,-0.10007433,-1.7984253,-0.2283759,0.24263181,-0.2818819,-0.6272861,-1.1320109,0.20337111,-0.43550366,0.549934,-0.39244026,0.42651752
